24,5
94,7
22,2
26,8
34,5
64,20
28,15
109,3
55,16
90,6
79,16
22,1
71,18
4,10
17,16
63,15
98,18
32,2
63,6
106,7
43,3
45,19
70,13
131,12
108,13
129,18
54,3
92,2
22,7
72,9
131,3
146,6
118,15
127,20
69,13
36,6
47,18
141,15
140,15
141,20
48,4
17,15
138,18
80,20
18,9
33,6
32,1
112,1
46,11
121,10
1,20
127,11
32,2
39,9
13,4
2,13
34,10
44,6
139,3
5,4
150,19
72,3
140,13
127,6
58,6
94,15
143,2
23,5
148,8
125,2
46,4
21,13
35,5
71,11
137,6
88,16
126,7
12,18
12,6
31,11
110,5
18,14
120,1
74,1
61,18
124,14
108,9
133,7
9,17
148,3
7,11
125,12
134,1
14,11
26,1
58,1
4,20
116,14
141,16
71,15
7,20
72,7
150,9
77,3
15,11
34,16
145,5
5,9
1,11
29,15
106,18
26,1
149,16
6,9
34,18
73,15
22,6
75,6
85,5
19,6
3,16
79,8
26,20
112,13
19,8
48,14
27,6
76,15
116,8
144,20
41,15
99,9
129,8
12,12
104,18
75,13
138,19
109,19
64,13
